날짜,시가,고가,저가,종가,거래량,매수_기관합계,매수_기타법인,매수_개인,매수_외국인합계,매도_기관합계,매도_기타법인,매도_개인,매도_외국인합계,전체,predictable
2016-11-17,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2016-11-18,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2016-11-21,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2016-11-22,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2016-11-23,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2016-11-24,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2016-11-25,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2016-11-28,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2016-11-29,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2016-11-30,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2016-12-01,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2016-12-02,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2016-12-05,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2016-12-06,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2016-12-07,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2016-12-08,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2016-12-09,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2016-12-12,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2016-12-13,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2016-12-14,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2016-12-15,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2016-12-16,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2016-12-19,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2016-12-20,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2016-12-21,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2016-12-22,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2016-12-23,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2016-12-26,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2016-12-27,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2016-12-28,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2016-12-29,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-01-02,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-01-03,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-01-04,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-01-05,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-01-06,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-01-09,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-01-10,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-01-11,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-01-12,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-01-13,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-01-16,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-01-17,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-01-18,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-01-19,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-01-20,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-01-23,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-01-24,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-01-25,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-01-26,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-01-31,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-02-01,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-02-02,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-02-03,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-02-06,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-02-07,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-02-08,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-02-09,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-02-10,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-02-13,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-02-14,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-02-15,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-02-16,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-02-17,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-02-20,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-02-21,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-02-22,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-02-23,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-02-24,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-02-27,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-02-28,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-03-02,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-03-03,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-03-06,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-03-07,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-03-08,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-03-09,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-03-10,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-03-13,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-03-14,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-03-15,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-03-16,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-03-17,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-03-20,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-03-21,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-03-22,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-03-23,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-03-24,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-03-27,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-03-28,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-03-29,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-03-30,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-03-31,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-04-03,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-04-04,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-04-05,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-04-06,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-04-07,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-04-10,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-04-11,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-04-12,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-04-13,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-04-14,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-04-17,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-04-18,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-04-19,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-04-20,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-04-21,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-04-24,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-04-25,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-04-26,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-04-27,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-04-28,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-05-02,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-05-04,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-05-08,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-05-10,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-05-11,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-05-12,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-05-15,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-05-16,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-05-17,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-05-18,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-05-19,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-05-22,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-05-23,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-05-24,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-05-25,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-05-26,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-05-29,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-05-30,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-05-31,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-06-01,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-06-02,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-06-05,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-06-07,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-06-08,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-06-09,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-06-12,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-06-13,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-06-14,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-06-15,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-06-16,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-06-19,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-06-20,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-06-21,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-06-22,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-06-23,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-06-26,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-06-27,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-06-28,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
2017-06-29,2043.0,2043.0,2043.0,2043.0,83790.0,17146560.0,0.0,207499260.0,848000.0,109696860.0,187340.0,61386350.0,54223270.0,225493820.0,0
