날짜,시가,고가,저가,종가,거래량,매수_기관합계,매수_기타법인,매수_개인,매수_외국인합계,매도_기관합계,매도_기타법인,매도_개인,매도_외국인합계,전체,predictable
2019-11-29,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2019-12-02,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2019-12-03,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2019-12-04,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2019-12-05,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2019-12-06,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2019-12-09,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2019-12-10,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2019-12-11,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2019-12-12,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2019-12-13,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2019-12-16,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2019-12-17,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2019-12-18,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2019-12-19,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2019-12-20,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2019-12-23,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2019-12-24,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2019-12-26,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2019-12-27,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2019-12-30,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-02,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-03,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-06,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-07,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-08,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-09,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-10,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-13,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-14,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-15,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-16,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-17,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-20,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-21,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-22,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-23,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-28,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-29,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-30,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-31,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-02-03,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-02-04,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-02-05,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-02-06,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-02-07,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-02-10,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-02-11,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-02-12,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-02-13,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-02-14,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-02-17,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-02-18,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-02-19,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-02-20,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-02-21,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-02-24,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-02-25,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-02-26,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-02-27,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-02-28,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-03-02,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-03-03,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-03-04,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-03-05,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-03-06,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-03-09,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-03-10,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-03-11,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-03-12,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-03-13,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-03-16,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-03-17,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-03-18,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-03-19,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-03-20,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-03-23,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-03-24,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-03-25,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-03-26,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-03-27,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-03-30,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-03-31,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-04-01,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-04-02,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-04-03,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-04-06,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-04-07,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-04-08,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-04-09,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-04-10,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-04-13,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-04-14,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-04-16,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-04-17,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-04-20,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-04-21,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-04-22,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-04-23,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-04-24,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-04-27,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-04-28,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-04-29,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-05-04,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-05-06,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-05-07,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-05-08,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-05-11,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-05-12,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-05-13,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-05-14,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-05-15,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-05-18,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-05-19,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-05-20,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-05-21,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-05-22,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-05-25,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-05-26,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-05-27,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-05-28,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-05-29,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-06-01,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-06-02,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-06-03,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-06-04,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-06-05,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-06-08,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-06-09,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-06-10,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-06-11,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-06-12,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-06-15,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-06-16,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-06-17,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-06-18,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-06-19,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-06-22,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-06-23,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-06-24,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-06-25,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-06-26,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-06-29,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-06-30,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-07-01,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-07-02,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-07-03,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-07-06,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-07-07,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-07-08,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-07-09,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-07-10,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-07-13,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-07-14,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-07-15,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-07-16,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-07-17,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-07-20,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-07-21,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-07-22,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-07-23,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-07-24,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-07-27,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-07-28,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-07-29,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-07-30,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-07-31,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-08-03,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-08-04,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-08-05,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-08-06,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-08-07,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-08-10,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-08-11,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-08-12,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-08-13,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-08-14,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-08-18,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-08-19,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-08-20,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-08-21,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-08-24,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-08-25,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-08-26,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-08-27,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-08-28,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-08-31,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-09-01,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-09-02,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-09-03,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-09-04,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-09-07,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-09-08,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-09-09,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-09-10,7300.0,7300.0,7300.0,7300.0,18928670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
